Name,Country,Users,Purpose,Orbit_Class,Period_min,Launch_Date,Launch_Site,Launch_Vehicle
Galileo FOC FM15,ESA,Commercial,Navigation/Global Positioning,MEO,842.6,13-12-2017,Guiana Space Center,Ariane 5
Galileo FOC FM16,ESA,Commercial,Navigation/Global Positioning,MEO,831.6,13-12-2017,Guiana Space Center,Ariane 5
Galileo FOC FM17,ESA,Commercial,Navigation/Global Positioning,MEO,831.4,13-12-2017,Guiana Space Center,Ariane 5
Galileo FOC FM18,ESA,Commercial,Navigation/Global Positioning,MEO,830.9,13-12-2017,Guiana Space Center,Ariane 5
Galileo FOC FM19,ESA,Commercial,Navigation/Global Positioning,MEO,840.2,25-07-2018,Guiana Space Center,Ariane 5 ES
Galileo FOC FM2,ESA,Commercial,Navigation/Global Positioning,Elliptical,705.11,22-08-2014,Guiana Space Center,Soyuz-ST
Galileo FOC FM20,ESA,Commercial,Navigation/Global Positioning,MEO,831.2,25-07-2018,Guiana Space Center,Ariane 5 ES
Galileo FOC FM21,ESA,Commercial,Navigation/Global Positioning,MEO,834.2,25-07-2018,Guiana Space Center,Ariane 5 ES
Galileo FOC FM22,ESA,Commercial,Navigation/Global Positioning,MEO,836.6,25-07-2018,Guiana Space Center,Ariane 5 ES
Galileo FOC FM3,ESA,Commercial,Navigation/Global Positioning,MEO,858.55,27-03-2015,Guiana Space Center,Soyuz-ST
Galileo FOC FM4,ESA,Commercial,Navigation/Global Positioning,MEO,850.5,27-03-2015,Guiana Space Center,Soyuz-ST
Galileo FOC FM5,ESA,Commercial,Navigation/Global Positioning,MEO,845,11-09-2015,Guiana Space Center,Soyuz-ST
Galileo FOC FM6,ESA,Commercial,Navigation/Global Positioning,MEO,844,11-09-2015,Guiana Space Center,Soyuz-ST
Galileo FOC FM7,ESA,Commercial,Navigation/Global Positioning,MEO,847,17-11-2016,Guiana Space Center,Ariane 5
Galileo FOC FM8,ESA,Commercial,Navigation/Global Positioning,MEO,860.51,17-12-2015,Guiana Space Center,Soyuz-ST
Galileo FOC FM9,ESA,Commercial,Navigation/Global Positioning,MEO,858.34,17-12-2015,Guiana Space Center,Soyuz-ST
Galileo IOV-1 FM2,ESA,Commercial,Navigation/Global Positioning,MEO,846.98,21-10-2011,Guiana Space Center,Soyuz-Fregat
Galileo IOV-1 PFM,ESA,Commercial,Navigation/Global Positioning,MEO,846.88,21-10-2011,Guiana Space Center,Soyuz-Fregat
Galileo IOV-2 FM3,ESA,Commercial,Navigation/Global Positioning,MEO,844.76,12-10-2012,Guiana Space Center,Soyuz-Fregat
Galileo IOV-2 FM4,ESA,Commercial,Navigation/Global Positioning,MEO,844.69,12-10-2012,Guiana Space Center,Soyuz-Fregat
Gaofen 1,China,Government,Earth Observation,LEO,97.56,26-04-2013,Jiuquan Satellite Launch Center,Long March 2D
Gaofen 10,China,Government,Earth Observation,LEO,97.03,04-10-2019,Taiyuan Launch Center,Long March 4C
Gaofen 11,China,Government,Earth Observation,Elliptical,93.9,31-07-2018,Taiyuan Launch Center,Long March 4B
Gaofen 11-02,China,Government,Earth Observation,Elliptical,93.9,07-09-2020,Taiyuan Launch Center,Long March 4B
Gaofen 12,China,Government,Earth Observation,LEO,96.9,28-11-2019,Taiyuan Launch Center,Long March 4C
Gaofen 13,China,Government,Earth Observation,GEO,1436.13,11-10-2020,Xichang Satellite Launch Center,Long March 3B
Gaofen 14,China,Government,Earth Observation,LEO,94.4,06-12-2020,Xichang Satellite Launch Center,Long March 3B
Gaofen 2,China,Government,Earth Observation,LEO,97.06,19-08-2014,Taiyuan Launch Center,Long March 4B
Gaofen 3,China,Government,Earth Observation,LEO,99.8,09-08-2016,Taiyuan Launch Center,Long March 4C
Gaofen 4,China,Government,Earth Observation,GEO,1436.1,28-12-2015,Xichang Satellite Launch Center,Long March 3B
Gaofen 7,China,Government,Earth Observation,LEO,94.5,03-11-2019,Taiyuan Launch Center,Long March 4B
Gaofen 8,China,Military,Earth Observation,LEO,94.36,26-06-2015,Taiyuan Launch Center,Long March 4B
Gaofen 9,China,Government,Earth Observation,LEO,97.54,14-09-2015,Jiuquan Satellite Launch Center,Long March 2D
Gaofen 9-02,China,Government,Earth Observation,LEO,94.5,31-05-2020,Jiuquan Satellite Launch Center,Long March 2D
Gaofen 9-03,China,Government,Earth Observation,LEO,94.5,17-06-2020,Jiuquan Satellite Launch Center,Long March 2D
Gaofen 9-04,China,Government,Earth Observation,LEO,94.5,06-08-2020,Jiuquan Satellite Launch Center,Long March 2D
Gaofen 9-05,China,Government,Earth Observation,LEO,94.5,23-08-2020,Jiuquan Satellite Launch Center,Long March 2D
Gaofen Multi-Mode 1,China,Government,Earth Observation,LEO,97.5,03-07-2020,Taiyuan Launch Center,Long March 4B
Gaofen 1-02,China,Government,Earth Observation,LEO,97.5,30-03-2018,Taiyuan Launch Center,Long March 4C
Gaofen 1-03,China,Government,Earth Observation,LEO,97.5,30-03-2018,Taiyuan Launch Center,Long March 4C
Gaofen 1-04,China,Government,Earth Observation,LEO,97.5,30-03-2018,Taiyuan Launch Center,Long March 4C
Gaofen 1-05,China,Government,Earth Observation,LEO,98.4,08-05-2018,Taiyuan Launch Center,Long March 4C
Gaofen 1-06,China,Government,Earth Observation,LEO,97.3,03-06-2018,Jiuquan Satellite Launch Center,Long March 2D
Cosmos 2473,Russia,Military,Communications,GEO,1436.1,20-09-2011,Baikonur Cosmodrome,Proton M
Cosmos 2513,Russia,Military,Communications,GEO,1436.1,10-12-2015,Baikonur Cosmodrome,Proton M
